camera_orientation,timestamp,num_rois,roi_detected_points,roi_threshold_used,roi_kl_divergence,roi_is_valid
left,20.972,2,1,123,0.0802803784608841,1
left,20.972,2,0,0,inf,1
left,21.012,2,2,123,0.24496209621429443,1
left,21.012,2,2,123,0.24496209621429443,1
left,21.108,3,2,123,0.24496209621429443,1
left,21.108,3,2,123,0.24496209621429443,1
left,21.108,3,3,123,0.32805538177490234,1
left,21.116,3,2,123,0.24496209621429443,1
left,21.116,3,2,123,0.24496209621429443,1
left,21.116,3,3,123,0.32805538177490234,1
left,21.148,3,2,123,0.16229401528835297,1
left,21.148,3,1,123,0.0802803784608841,1
left,21.148,3,1,123,0.0802803784608841,1
left,21.208,3,3,123,0.32805538177490234,1
left,21.208,3,2,123,0.24496209621429443,1
left,21.208,3,2,123,0.24496209621429443,1
left,21.224,3,2,123,0.24496209621429443,1
left,21.224,3,2,123,0.24496209621429443,1
left,21.224,3,1,123,0.16229401528835297,1
left,21.24,3,1,123,0.0802803784608841,1
left,21.24,3,0,244,183.4412384033203,1
left,21.24,3,1,123,0.0802803784608841,1
left,21.28,3,1,123,0.0802803784608841,1
left,21.28,3,1,123,0.0802803784608841,1
left,21.28,3,0,0,inf,1
left,21.296,3,2,123,0.24496209621429443,1
left,21.296,3,1,123,0.16229401528835297,1
left,21.296,3,2,123,0.24496209621429443,1
left,21.316,3,3,123,0.32805538177490234,1
left,21.316,3,2,123,0.24496209621429443,1
left,21.316,3,2,123,0.24496209621429443,1
left,21.364,3,3,123,0.32805538177490234,1
left,21.364,3,2,123,0.24496209621429443,1
left,21.364,3,2,123,0.24496209621429443,1
left,21.512,3,2,123,0.24496209621429443,1
left,21.512,3,2,123,0.24496209621429443,1
left,21.512,3,3,123,0.32805538177490234,1
left,21.528,3,1,123,0.16229401528835297,1
left,21.528,3,2,123,0.24496209621429443,1
left,21.528,3,2,123,0.24496209621429443,1
left,21.548000000000002,3,1,123,0.0802803784608841,1
left,21.548000000000002,3,0,11,183.4412384033203,1
left,21.548000000000002,3,1,123,0.0802803784608841,1
left,21.564,3,2,123,0.24496209621429443,1
left,21.564,3,2,123,0.24496209621429443,1
left,21.564,3,3,123,0.32805538177490234,1
left,21.604,3,2,123,0.24496209621429443,1
left,21.604,3,1,123,0.16229401528835297,1
left,21.604,3,2,123,0.24496209621429443,1
left,21.66,3,2,123,0.24496209621429443,1
left,21.66,3,2,123,0.24496209621429443,1
left,21.66,3,3,123,0.32805538177490234,1
left,21.708,3,2,123,0.24496209621429443,1
left,21.708,3,2,123,0.24496209621429443,1
left,21.708,3,3,123,0.32805538177490234,1
left,21.744,3,1,123,0.0802803784608841,1
left,21.744,3,1,123,0.0802803784608841,1
left,21.744,3,2,123,0.16229401528835297,1
left,21.76,3,1,123,0.16229401528835297,1
left,21.76,3,1,123,0.16229401528835297,1
left,21.76,3,1,123,0.16229401528835297,1
left,21.776,3,2,123,0.24496209621429443,1
left,21.776,3,2,123,0.24496209621429443,1
left,21.776,3,3,123,0.32805538177490234,1
left,21.824,3,1,123,0.16229401528835297,1
left,21.824,3,2,123,0.24496209621429443,1
left,21.824,3,2,123,0.24496209621429443,1
left,21.848,3,1,123,0.0802803784608841,1
left,21.848,3,0,0,inf,1
left,21.848,3,1,123,0.0802803784608841,1
left,21.876,3,0,0,inf,1
left,21.876,3,1,123,0.0802803784608841,1
