camera_orientation,timestamp,num_rois,roi_detected_points,roi_threshold_used,roi_kl_divergence,roi_is_valid
left,20.664,2,1,23,0.0,1
left,20.664,2,1,23,0.0,1
left,20.692,2,1,23,0.0,1
left,20.692,2,2,23,0.0,1
left,20.856,2,2,23,0.0,1
left,20.856,2,2,23,0.0,1
left,20.912,3,1,23,0.0,1
left,20.912,3,2,23,0.0,1
left,20.912,3,2,23,0.0,1
left,20.924,3,1,23,0.0,1
left,20.924,3,0,0,0.0,1
left,20.924,3,1,23,0.0,1
left,20.936,3,2,23,0.0,1
left,20.936,3,2,23,0.0,1
left,20.936,3,3,23,0.0,1
left,20.964,3,0,0,0.0,1
left,20.964,3,1,23,0.0,1
left,20.964,3,1,23,0.0,1
left,20.98,3,2,23,0.0,1
left,20.98,3,1,23,0.0,1
left,20.98,3,2,23,0.0,1
left,21.04,3,2,23,0.0,1
left,21.04,3,2,23,0.0,1
left,21.04,3,3,23,0.0,1
left,21.104,3,2,23,0.0,1
left,21.104,3,2,23,0.0,1
left,21.104,3,3,23,0.0,1
left,21.144,3,1,23,0.0,1
left,21.144,3,1,23,0.0,1
left,21.144,3,1,23,0.0,1
left,21.196,3,1,23,0.0,1
left,21.196,3,2,23,0.0,1
left,21.196,3,2,23,0.0,1
left,21.212,3,1,23,0.0,1
left,21.212,3,0,0,0.0,1
left,21.212,3,1,23,0.0,1
left,21.228,3,2,23,0.0,1
left,21.228,3,2,23,0.0,1
left,21.228,3,3,23,0.0,1
left,21.244,3,0,0,0.0,1
left,21.244,3,1,23,0.0,1
left,21.244,3,1,23,0.0,1
left,21.28,3,2,23,0.0,1
left,21.28,3,2,23,0.0,1
left,21.28,3,3,23,0.0,1
left,21.328,3,2,23,0.0,1
left,21.328,3,2,23,0.0,1
left,21.328,3,3,23,0.0,1
left,21.368,3,2,23,0.0,1
left,21.368,3,2,23,0.0,1
left,21.368,3,3,23,0.0,1
left,21.42,3,1,23,0.0,1
left,21.42,3,1,23,0.0,1
left,21.42,3,1,23,0.0,1
left,21.468,3,2,23,0.0,1
left,21.468,3,2,23,0.0,1
left,21.468,3,3,23,0.0,1
left,21.496,3,2,23,0.0,1
left,21.496,3,1,23,0.0,1
left,21.496,3,2,23,0.0,1
left,21.528,3,3,23,0.0,1
left,21.528,3,2,23,0.0,1
left,21.528,3,2,23,0.0,1
left,21.54,3,1,23,0.0,1
left,21.54,3,0,0,0.0,1
left,21.54,3,1,23,0.0,1
left,21.568,3,3,23,0.0,1
left,21.568,3,2,23,0.0,1
left,21.568,3,2,23,0.0,1
left,21.768,3,2,23,0.0,1
left,21.768,3,2,23,0.0,1
left,21.768,3,3,23,0.0,1
left,21.796,3,1,23,0.0,1
left,21.796,3,2,23,0.0,1
left,21.796,3,2,23,0.0,1
left,21.82,3,1,23,0.0,1
left,21.82,3,0,0,0.0,1
left,21.82,3,1,23,0.0,1
left,21.832,3,0,0,0.0,1
left,21.832,3,1,23,0.0,1
left,21.832,3,1,23,0.0,1
left,21.856,3,2,23,0.0,1
left,21.856,3,1,23,0.0,1
left,21.856,3,2,23,0.0,1
left,21.984,3,2,23,0.0,1
left,21.984,3,2,23,0.0,1
left,21.984,3,3,23,0.0,1
left,22.012,3,1,23,0.0,1
left,22.012,3,1,23,0.0,1
left,22.012,3,2,23,0.0,1
left,22.028,3,1,23,0.0,1
left,22.028,3,1,23,0.0,1
left,22.028,3,1,23,0.0,1
left,22.092,3,2,23,0.0,1
left,22.092,3,2,23,0.0,1
left,22.092,3,3,23,0.0,1
left,22.14,3,0,0,0.0,1
left,22.14,3,1,23,0.0,1
left,22.14,3,1,23,0.0,1
left,22.156,3,2,23,0.0,1
left,22.156,3,1,23,0.0,1
left,22.156,3,2,23,0.0,1
left,22.172,3,2,23,0.0,1
left,22.172,3,2,23,0.0,1
left,22.172,3,3,23,0.0,1
left,22.28,3,2,23,0.0,1
left,22.28,3,2,23,0.0,1
left,22.28,3,3,23,0.0,1
left,22.312,3,1,23,0.0,1
left,22.312,3,1,23,0.0,1
left,22.312,3,2,23,0.0,1
left,22.344,3,1,23,0.0,1
left,22.344,3,1,23,0.0,1
left,22.344,3,1,23,0.0,1
left,22.4,3,1,23,0.0,1
left,22.4,3,2,23,0.0,1
left,22.4,3,2,23,0.0,1
left,22.412,3,1,23,0.0,1
left,22.412,3,0,0,0.0,1
left,22.412,3,1,23,0.0,1
left,22.432,2,2,23,0.0,1
left,22.432,2,3,23,0.0,1
left,22.452,3,1,23,0.0,1
left,22.452,3,1,23,0.0,1
left,22.452,3,0,0,0.0,1
left,22.464,3,2,23,0.0,1
left,22.464,3,3,23,0.0,1
left,22.464,3,2,23,0.0,1
left,22.524,3,2,23,0.0,1
left,22.524,3,3,23,0.0,1
left,22.524,3,2,23,0.0,1
left,22.584,3,2,23,0.0,1
left,22.584,3,3,23,0.0,1
left,22.584,3,2,23,0.0,1
left,22.62,3,1,23,0.0,1
left,22.62,3,1,23,0.0,1
left,22.62,3,1,23,0.0,1
left,22.664,3,2,23,0.0,1
left,22.664,3,3,23,0.0,1
left,22.664,3,2,23,0.0,1
left,22.712,3,0,0,0.0,1
left,22.712,3,1,23,0.0,1
left,22.712,3,1,23,0.0,1
left,22.732,3,2,23,0.0,1
left,22.732,3,3,23,0.0,1
left,22.732,3,2,23,0.0,1
left,22.764,3,1,23,0.0,1
left,22.764,3,2,23,0.0,1
left,22.764,3,2,23,0.0,1
left,22.824,3,2,23,0.0,1
left,22.824,3,3,23,0.0,1
left,22.824,3,2,23,0.0,1
left,22.876,3,2,23,0.0,1
left,22.876,3,3,23,0.0,1
left,22.876,3,2,23,0.0,1
left,22.912,3,1,23,0.0,1
left,22.912,3,2,23,0.0,1
left,22.912,3,1,23,0.0,1
left,22.972,3,2,23,0.0,1
left,22.972,3,3,23,0.0,1
left,22.972,3,2,23,0.0,1
left,22.988,3,2,23,0.0,1
left,22.988,3,2,23,0.0,1
left,22.988,3,1,23,0.0,1
left,23.008,3,0,0,0.0,1
left,23.008,3,1,23,0.0,1
left,23.008,3,1,23,0.0,1
left,23.028,3,2,23,0.0,1
left,23.028,3,3,23,0.0,1
left,23.028,3,2,23,0.0,1
left,23.052,3,1,23,0.0,1
left,23.052,3,1,23,0.0,1
left,23.052,3,0,0,0.0,1
left,23.072,3,1,23,0.0,1
left,23.072,3,2,23,0.0,1
left,23.072,3,2,23,0.0,1
left,23.136,3,2,23,0.0,1
left,23.136,3,3,23,0.0,1
left,23.136,3,2,23,0.0,1
left,23.18,3,2,23,0.0,1
left,23.18,3,3,23,0.0,1
left,23.18,3,2,23,0.0,1
left,23.216,3,1,23,0.0,1
left,23.216,3,2,23,0.0,1
left,23.216,3,1,23,0.0,1
left,23.236,3,1,23,0.0,1
left,23.236,3,1,23,0.0,1
left,23.236,3,1,23,0.0,1
left,23.256,3,2,23,0.0,1
left,23.256,3,3,23,0.0,1
left,23.256,3,2,23,0.0,1
left,23.3,3,2,23,0.0,1
left,23.3,3,2,23,0.0,1
left,23.3,3,1,23,0.0,1
left,23.324,3,0,0,0.0,1
left,23.324,3,1,23,0.0,1
left,23.324,3,1,23,0.0,1
left,23.34,3,1,23,0.0,1
left,23.34,3,1,23,0.0,1
left,23.34,3,0,0,0.0,1
left,23.368,3,2,23,0.0,1
left,23.368,3,3,23,0.0,1
left,23.368,3,2,23,0.0,1
left,23.432,3,2,23,0.0,1
left,23.432,3,3,23,0.0,1
left,23.432,3,2,23,0.0,1
left,23.568,3,2,23,0.0,1
left,23.568,3,3,23,0.0,1
left,23.568,3,2,23,0.0,1
left,23.6,3,2,23,0.0,1
left,23.6,3,2,23,0.0,1
left,23.6,3,1,23,0.0,1
left,23.612,3,0,0,0.0,1
left,23.612,3,1,23,0.0,1
left,23.612,3,1,23,0.0,1
left,23.62,3,2,23,0.0,1
left,23.62,3,3,23,0.0,1
left,23.62,3,2,23,0.0,1
left,23.624,3,1,23,0.0,1
left,23.624,3,1,23,0.0,1
left,23.624,3,0,0,0.0,1
left,23.636,3,1,23,0.0,1
left,23.636,3,2,23,0.0,1
left,23.636,3,2,23,0.0,1
left,23.652,3,2,23,0.0,1
left,23.652,3,3,23,0.0,1
left,23.652,3,2,23,0.0,1
left,23.704,3,2,23,0.0,1
left,23.704,3,3,23,0.0,1
left,23.704,3,2,23,0.0,1
left,23.752,3,2,23,0.0,1
left,23.752,3,3,23,0.0,1
left,23.752,3,2,23,0.0,1
left,23.792,3,1,23,0.0,1
left,23.792,3,2,23,0.0,1
left,23.792,3,1,23,0.0,1
left,23.804,3,1,23,0.0,1
left,23.804,3,1,23,0.0,1
left,23.804,3,1,23,0.0,1
left,23.82,3,2,23,0.0,1
left,23.82,3,3,23,0.0,1
left,23.82,3,2,23,0.0,1
left,23.876,3,2,23,0.0,1
left,23.876,3,3,23,0.0,1
left,23.876,3,2,23,0.0,1
left,23.88,3,2,23,0.0,1
left,23.88,3,2,23,0.0,1
left,23.88,3,1,23,0.0,1
left,23.892,3,0,0,0.0,1
left,23.892,3,1,23,0.0,1
left,23.892,3,1,23,0.0,1
left,23.904,3,2,23,0.0,1
left,23.904,3,3,23,0.0,1
left,23.904,3,2,23,0.0,1
left,23.924,3,1,23,0.0,1
left,23.924,3,1,23,0.0,1
left,23.924,3,0,0,0.0,1
left,23.936,3,1,23,0.0,1
left,23.936,3,2,23,0.0,1
left,23.936,3,2,23,0.0,1
left,23.98,3,2,23,0.0,1
left,23.98,3,3,23,0.0,1
left,23.98,3,2,23,0.0,1
left,24.008,3,2,23,0.0,1
left,24.008,3,3,23,0.0,1
left,24.008,3,2,23,0.0,1
left,24.052,3,2,23,0.0,1
left,24.052,3,3,23,0.0,1
left,24.052,3,2,23,0.0,1
left,24.096,3,1,23,0.0,1
left,24.096,3,2,23,0.0,1
left,24.096,3,1,23,0.0,1
left,24.108,3,1,23,0.0,1
left,24.108,3,1,23,0.0,1
left,24.108,3,1,23,0.0,1
left,24.12,3,2,23,0.0,1
left,24.12,3,3,23,0.0,1
left,24.12,3,2,23,0.0,1
left,24.16,3,2,23,0.0,1
left,24.16,3,3,23,0.0,1
left,24.16,3,2,23,0.0,1
left,24.172,3,2,23,0.0,1
left,24.172,3,2,23,0.0,1
left,24.172,3,1,23,0.0,1
left,24.192,3,0,0,0.0,1
left,24.192,3,1,23,0.0,1
left,24.192,3,1,23,0.0,1
left,24.204,3,2,23,0.0,1
left,24.204,3,3,23,0.0,1
left,24.204,3,2,23,0.0,1
left,24.22,3,1,23,0.0,1
left,24.22,3,1,23,0.0,1
left,24.22,3,0,0,0.0,1
left,24.24,3,1,23,0.0,1
left,24.24,3,2,23,0.0,1
left,24.24,3,2,23,0.0,1
left,24.256,3,2,23,0.0,1
left,24.256,3,3,23,0.0,1
left,24.256,3,2,23,0.0,1
left,24.304,3,2,23,0.0,1
left,24.304,3,3,23,0.0,1
left,24.304,3,2,23,0.0,1
left,24.352,3,2,23,0.0,1
left,24.352,3,3,23,0.0,1
left,24.352,3,2,23,0.0,1
