Key,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Decoding Success Rate Signal 1,Decoding Success Rate Signal 2,Average Decoding Quality Signal 1,Average Decoding Quality Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
invalid,19666,11474,54905,51008,0.35818231490756763,0.22494510664993728,72.31418370658878,72.4634858812074,64.18176850924324,77.50548933500627,76.250135237477,85.5436546575787,0.5831274215575049,0.35818231490756763,-0.13323720825763036,-37.1981537647981
valid,11439,6756,51346,45428,0.22278268998558798,0.1487188518094567,76.06607229248739,84.829635773032,77.72173100144121,85.12811481905432,91.93678438961457,89.06627963231738,0.3715015417950447,0.22278268998558798,-0.07406383817613127,-33.24488010308275
valid_4_5_50,9305,5510,51497,47719,0.18069013728955086,0.11546763343741487,78.37012987012987,86.29220779220779,81.93098627104492,88.45323665625851,91.32467532467533,91.36147186147186,0.2961577707269657,0.18069013728955086,-0.06522250385213599,-36.09632757521168
valid_4_4_15,8825,5503,51017,47712,0.17298155516788521,0.1153378604963112,78.8051948051948,86.29220779220779,82.70184448321149,88.46621395036888,91.32467532467533,91.36147186147186,0.2883194156641964,0.17298155516788521,-0.057643694671574014,-33.323607604075825
valid_4_5_15,8825,5503,51020,47715,0.17297138377107016,0.11533060882322121,78.806571001883,86.29309785078891,82.70286162289298,88.46693911767788,91.32523862086877,91.36203276843494,0.28830199259429135,0.17297138377107016,-0.057640774947848944,-33.323879182314485
"valid_5_5_,15",11518,6985,53501,48218,0.21528569559447486,0.1448629142643826,76.75324675324676,84.86363636363636,78.47143044055251,85.51370857356174,90.87229437229436,89.22510822510823,0.36014860985885744,0.21528569559447486,-0.07042278133009225,-32.71131467217629
otsu,23013,11312,57064,49836,0.40328403196411045,0.22698450919014368,71.2597649839165,78.42184730519267,59.671596803588955,77.30154908098564,74.34735989846604,83.62765049563447,0.6302685411542541,0.40328403196411045,-0.17629952277396677,-43.71596909387581
kl,44395,58183,67439,94944,0.6582986105962425,0.6128138692281766,6.929016526686535,2.6212408561365486,34.17013894037575,38.71861307718234,50.106113970920255,79.0910322405852,1.271112479824419,0.6582986105962425,-0.045484741368065906,-6.909439065482593
valid_4_5_15_invalids,9653,6963,44402,44233,0.21740011711184182,0.157416408563742,75.89094180333541,81.49609023596983,78.25998828881582,84.25835914362581,80.1536225866722,85.96867575484973,0.3748165256755838,0.21740011711184182,-0.05998370854809981,-27.59138741274969
valid_and_standards_4_5_15,8789,5543,45669,44191,0.19245002080185683,0.12543278043040437,76.88049269946717,84.30558438862363,80.75499791981431,87.45672195695956,85.06908403109357,89.1472331787881,0.3178828012322612,0.19245002080185683,-0.06701724037145246,-34.82319206421507
consistency_check,1720,985,10412,9695,0.16519400691509797,0.10159876224858175,81.19847812301839,88.33227647431833,83.4805993084902,89.84012377514182,91.86218558444303,92.05242020714437,0.2667927691636797,0.16519400691509797,-0.06359524466651623,-38.49730741091668
no-merging,18055,30341,44068,43283,0.40970772442588727,0.7009911512603101,56.51211072664359,29.6401384083045,59.02922755741128,29.900884873968998,60.00692041522492,29.85467128027682,1.1106988756861973,0.7009911512603101,0.2912834268344228,71.09541984901327
outlier_rej_2025,8789,5561,45669,44191,0.19245002080185683,0.12584010318843203,76.88049269946717,84.18102553456508,80.75499791981431,87.41598968115679,85.06908403109357,89.10571356076858,0.3182901239902889,0.19245002080185683,-0.0666099176134248,-34.61154087481508
outlier_rej_2024,8789,5561,45666,44188,0.192462663688521,0.12584864669140944,76.87889273356402,84.17993079584775,80.7537336311479,87.41513533085906,85.06805074971165,89.1049596309112,0.31831131037993043,0.192462663688521,-0.06661401699711156,-34.611397203209656
